surveynum,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
age,24,31,30,25,26,25,27,21,33,22,28,24,20,28,29,25,19
ageTime,4.87,6.31,35.82,4.68,10.02,5.86,6.62,4.51,7.53,5.13,6.63,7.23,6.79,6.54,8.39,12.45,12.03
code,94603,40924,82446,18309,8104,99148,264,71743,52495,93914,15195,11061,80567,69908,6365,76679,69861
codeTime,,,,,,,,,,,,,,,,,
correct1,,,,,,,,,,,,,,,,,
correct1Time,,3.22,,2.92,3.28,2.59,3.55,2.65,4.43,,2.72,3.51,3.71,5.22,3.45,6.13,2.7
correct2,,,,,,,,,,,,,,,,,
correct2Time,2.83,2.97,2.42,6.11,2.67,1.91,2.79,1.56,2.36,1.88,2.73,2.82,3.02,,3,7.98,2.03
correct3,,,,,,,,,,,,,,,,,
correct3Time,1.62,2.52,2.34,5.08,2.77,2.66,2.61,2.35,2.77,1.93,3.19,,3.06,2.99,2.27,,2.22
correct4,,,,,,,,,,,,,,,,,
correct4Time,2.9,1.54,2.06,2.57,2.72,2.28,1.84,2.5,2.78,1.69,3.83,2.22,3.4,3.3,2,2.87,2.39
datestamp,10/12/2017 19:11,10/12/2017 19:20,10/13/2017 15:47,10/14/2017 11:33,10/15/2017 0:08,10/15/2017 12:56,10/30/2017 9:52,10/15/2017 17:56,10/16/2017 0:58,10/16/2017 13:50,10/16/2017 19:37,10/17/2017 10:11,10/26/2017 8:59,10/17/2017 20:04,10/17/2017 23:26,10/19/2017 12:23,10/28/2017 20:06
description,,,,,,,,,,,,,,,,,
descriptionTime,2.54,52.28,40.4,57.29,113.49,54.16,50.49,41.34,54.28,50.05,89.4,398.43,33.63,125.39,71.43,112.48,54.05
education,Bachelor (Universit?¤t oder Fachhochschule),Master (Universit?¤t oder Fachhochschule),Master (Universit?¤t oder Fachhochschule),Bachelor (Universit?¤t oder Fachhochschule),Master (Universit?¤t oder Fachhochschule),Bachelor (Universit?¤t oder Fachhochschule),Master (Universit?¤t oder Fachhochschule),Abitur (Allgemeine Hochschulreife),Master (Universit?¤t oder Fachhochschule),Abitur (Allgemeine Hochschulreife),Master (Universit?¤t oder Fachhochschule),Bachelor (Universit?¤t oder Fachhochschule),Abitur (Allgemeine Hochschulreife),Abitur (Allgemeine Hochschulreife),Master (Universit?¤t oder Fachhochschule),Abitur (Allgemeine Hochschulreife),Abitur (Allgemeine Hochschulreife)
educationTime,16.84,6.29,6.42,5.31,6.59,6.3,6.19,7.3,11.4,4.95,6.41,8.8,6.76,6.6,19.16,13.79,6.3
false1,,,,,,,,,,,,,,,,,
false1Time,3.34,,4.08,,,,,,,2.52,,,,,,,
false2,,,,,,,,,,,,,,,,,
false2Time,,,,,,,,,,,,,,4.31,,,
false3,,,,,,,,,,,,,,,,,
false3Time,,,,,,,,,,,,2.79,,,,9.27,
false4,,,,,,,,,,,,,,,,,
false4Time,,,,,,,,,,,,,,,,,
groupTime12747,,,,,,,,,,,,,,,,,
groupTime12748,,,,,,,,,,,,,,,,,
groupTime12749,,,,,,,,,,,,,,,,,
groupTime12750,,,,,,,,,,,,,,,,,
groupTime12751,,,,,,,,,,,,,,,,,
groupTime12752,,,,,,,,,,,,,,,,,
groupTime12799,,,,,,,,,,,,,,,,,
id,3,2,1,1,1,1,4,1,1,1,1,1,2,1,1,1,1
instruction,,,,,,,,,,,,,,,,,
Instruction2,,,,,,,,,,,,,,,,,
Instruction2Time,2.23,12.82,14.87,19.08,118.43,11.55,17.88,9.77,25.64,14.24,40.28,53.09,15.61,38.23,58.45,17.48,18.73
instructionTime,2.52,15.9,16.98,19.2,22.01,7.6,21.92,13.47,9.68,13.7,15.85,19.77,2.8,18.25,36.71,9.46,3.59
interviewtime,1893.12,1965.43,1919.02,2709.66,2262.62,1789.27,2009.24,2136.55,2277.32,1821.28,2026.08,4811.83,1983.05,3766.5,3350.94,3130.02,1935.78
ipaddr,185.182.81.2,82.174.112.139,131.174.45.227,213.124.181.74,5.146.249.227,37.201.243.44,91.135.169.115,213.124.166.161,95.116.249.235,213.124.164.186,84.87.229.87,178.9.92.48,77.174.121.204,77.181.190.37,178.202.24.206,80.137.154.93,80.60.159.198
language,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja
languageTime,26.46,8.19,4.46,7.58,6.87,6.75,7.36,6.02,23.56,10.79,9.68,8.19,5.72,9.53,10.86,11.72,6.04
lastpage,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,346
NA11,Nomen,,,,,,,,,,,,,,,,
NA110,Nomen,,,,,,,,,,,,,,,,
NA110Time,6.17,,,,,,,,,,,,,,,,
NA111,Nomen,,,,,,,,,,,,,,,,
NA111Time,6.38,,,,,,,,,,,,,,,,
NA112,Verb,,,,,,,,,,,,,,,,
NA112Time,15.68,,,,,,,,,,,,,,,,
NA113,Verb,,,,,,,,,,,,,,,,
NA113Time,4.83,,,,,,,,,,,,,,,,
NA114,Nomen,,,,,,,,,,,,,,,,
NA114Time,7.22,,,,,,,,,,,,,,,,
NA115,Nomen,,,,,,,,,,,,,,,,
NA115Time,6.61,,,,,,,,,,,,,,,,
NA116,Nomen,,,,,,,,,,,,,,,,
NA116Time,3.98,,,,,,,,,,,,,,,,
NA117,Nomen,,,,,,,,,,,,,,,,
NA117Time,4.06,,,,,,,,,,,,,,,,
NA118,Nomen,,,,,,,,,,,,,,,,
NA118Time,7.06,,,,,,,,,,,,,,,,
NA119,Verb,,,,,,,,,,,,,,,,
NA119Time,7.5,,,,,,,,,,,,,,,,
NA11Time,8.92,,,,,,,,,,,,,,,,
NA12,Nomen,,,,,,,,,,,,,,,,
NA120,Nomen,,,,,,,,,,,,,,,,
NA120Time,4.94,,,,,,,,,,,,,,,,
NA121,Nomen,,,,,,,,,,,,,,,,
NA121Time,5.42,,,,,,,,,,,,,,,,
NA122,Nomen,,,,,,,,,,,,,,,,
NA122Time,8.02,,,,,,,,,,,,,,,,
NA123,Nomen,,,,,,,,,,,,,,,,
NA123Time,7.64,,,,,,,,,,,,,,,,
NA124,Nomen,,,,,,,,,,,,,,,,
NA124Time,6.05,,,,,,,,,,,,,,,,
NA125,Nomen,,,,,,,,,,,,,,,,
NA125Time,5.25,,,,,,,,,,,,,,,,
NA126,Nomen,,,,,,,,,,,,,,,,
NA126Time,6.13,,,,,,,,,,,,,,,,
NA127,Nomen,,,,,,,,,,,,,,,,
NA127Time,4.64,,,,,,,,,,,,,,,,
NA128,Nomen,,,,,,,,,,,,,,,,
NA128Time,4.54,,,,,,,,,,,,,,,,
NA129,Nomen,,,,,,,,,,,,,,,,
NA129Time,5.46,,,,,,,,,,,,,,,,
NA12Time,7.14,,,,,,,,,,,,,,,,
NA13,Nomen,,,,,,,,,,,,,,,,
NA130,Nomen,,,,,,,,,,,,,,,,
NA130Time,12.25,,,,,,,,,,,,,,,,
NA131,Nomen,,,,,,,,,,,,,,,,
NA131Time,3.9,,,,,,,,,,,,,,,,
NA132,Nomen,,,,,,,,,,,,,,,,
NA132Time,4.3,,,,,,,,,,,,,,,,
NA133,Nomen,,,,,,,,,,,,,,,,
NA133Time,8.5,,,,,,,,,,,,,,,,
NA134,Nomen,,,,,,,,,,,,,,,,
NA134Time,8.3,,,,,,,,,,,,,,,,
NA135,Verb,,,,,,,,,,,,,,,,
NA135Time,4.78,,,,,,,,,,,,,,,,
NA136,Nomen,,,,,,,,,,,,,,,,
NA136Time,5.56,,,,,,,,,,,,,,,,
NA137,Nomen,,,,,,,,,,,,,,,,
NA137Time,5.34,,,,,,,,,,,,,,,,
NA138,Nomen,,,,,,,,,,,,,,,,
NA138Time,6.04,,,,,,,,,,,,,,,,
NA139,Nomen,,,,,,,,,,,,,,,,
NA139Time,6.68,,,,,,,,,,,,,,,,
NA13Time,5.72,,,,,,,,,,,,,,,,
NA14,Nomen,,,,,,,,,,,,,,,,
NA140,Nomen,,,,,,,,,,,,,,,,
NA140Time,7.95,,,,,,,,,,,,,,,,
NA141,Nomen,,,,,,,,,,,,,,,,
NA141Time,12.19,,,,,,,,,,,,,,,,
NA142,Nomen,,,,,,,,,,,,,,,,
NA142Time,5.39,,,,,,,,,,,,,,,,
NA143,Nomen,,,,,,,,,,,,,,,,
NA143Time,6.18,,,,,,,,,,,,,,,,
NA144,Nomen,,,,,,,,,,,,,,,,
NA144Time,3.34,,,,,,,,,,,,,,,,
NA145,Verb,,,,,,,,,,,,,,,,
NA145Time,7.74,,,,,,,,,,,,,,,,
NA146,Nomen,,,,,,,,,,,,,,,,
NA146Time,6.28,,,,,,,,,,,,,,,,
NA147,Nomen,,,,,,,,,,,,,,,,
NA147Time,5.43,,,,,,,,,,,,,,,,
NA148,Verb,,,,,,,,,,,,,,,,
NA148Time,4.93,,,,,,,,,,,,,,,,
NA149,Nomen,,,,,,,,,,,,,,,,
NA149Time,7.32,,,,,,,,,,,,,,,,
NA14Time,6.5,,,,,,,,,,,,,,,,
NA15,Nomen,,,,,,,,,,,,,,,,
NA150,Nomen,,,,,,,,,,,,,,,,
NA150Time,3.65,,,,,,,,,,,,,,,,
NA15Time,10.46,,,,,,,,,,,,,,,,
NA16,Nomen,,,,,,,,,,,,,,,,
NA16Time,7.17,,,,,,,,,,,,,,,,
NA17,Nomen,,,,,,,,,,,,,,,,
NA17Time,4.54,,,,,,,,,,,,,,,,
NA18,Nomen,,,,,,,,,,,,,,,,
NA18Time,4.53,,,,,,,,,,,,,,,,
NA19,Verb,,,,,,,,,,,,,,,,
NA19Time,8.27,,,,,,,,,,,,,,,,
NA21,Verb,,,,,,,,,,,,,,,,
NA210,Nomen,,,,,,,,,,,,,,,,
NA210Time,6.99,,,,,,,,,,,,,,,,
NA211,Nomen,,,,,,,,,,,,,,,,
NA211Time,6.17,,,,,,,,,,,,,,,,
NA212,Nomen,,,,,,,,,,,,,,,,
NA212Time,6.21,,,,,,,,,,,,,,,,
NA213,Verb,,,,,,,,,,,,,,,,
NA213Time,4.94,,,,,,,,,,,,,,,,
NA214,Nomen,,,,,,,,,,,,,,,,
NA214Time,7.25,,,,,,,,,,,,,,,,
NA215,Nomen,,,,,,,,,,,,,,,,
NA215Time,5.48,,,,,,,,,,,,,,,,
NA216,Nomen,,,,,,,,,,,,,,,,
NA216Time,5.18,,,,,,,,,,,,,,,,
NA217,Nomen,,,,,,,,,,,,,,,,
NA217Time,7.07,,,,,,,,,,,,,,,,
NA218,Verb,,,,,,,,,,,,,,,,
NA218Time,7.68,,,,,,,,,,,,,,,,
NA219,Nomen,,,,,,,,,,,,,,,,
NA219Time,7.24,,,,,,,,,,,,,,,,
NA21Time,3.73,,,,,,,,,,,,,,,,
NA22,Nomen,,,,,,,,,,,,,,,,
NA220,Verb,,,,,,,,,,,,,,,,
NA220Time,6.74,,,,,,,,,,,,,,,,
NA221,Nomen,,,,,,,,,,,,,,,,
NA221Time,5.55,,,,,,,,,,,,,,,,
NA222,Verb,,,,,,,,,,,,,,,,
NA222Time,9.7,,,,,,,,,,,,,,,,
NA223,Nomen,,,,,,,,,,,,,,,,
NA223Time,9.36,,,,,,,,,,,,,,,,
NA224,Verb,,,,,,,,,,,,,,,,
NA224Time,5.7,,,,,,,,,,,,,,,,
NA225,Nomen,,,,,,,,,,,,,,,,
NA225Time,4.99,,,,,,,,,,,,,,,,
NA226,Nomen,,,,,,,,,,,,,,,,
NA226Time,10.67,,,,,,,,,,,,,,,,
NA227,Nomen,,,,,,,,,,,,,,,,
NA227Time,6.07,,,,,,,,,,,,,,,,
NA228,Nomen,,,,,,,,,,,,,,,,
NA228Time,6.8,,,,,,,,,,,,,,,,
NA229,Nomen,,,,,,,,,,,,,,,,
NA229Time,6.6,,,,,,,,,,,,,,,,
NA22Time,8.01,,,,,,,,,,,,,,,,
NA23,Nomen,,,,,,,,,,,,,,,,
NA230,Nomen,,,,,,,,,,,,,,,,
NA230Time,4.56,,,,,,,,,,,,,,,,
NA23Time,4.96,,,,,,,,,,,,,,,,
NA24,Nomen,,,,,,,,,,,,,,,,
NA24Time,7,,,,,,,,,,,,,,,,
NA25,Nomen,,,,,,,,,,,,,,,,
NA25Time,5.72,,,,,,,,,,,,,,,,
NA26,Nomen,,,,,,,,,,,,,,,,
NA26Time,7.22,,,,,,,,,,,,,,,,
NA27,Nomen,,,,,,,,,,,,,,,,
NA27Time,6.01,,,,,,,,,,,,,,,,
NA28,Nomen,,,,,,,,,,,,,,,,
NA28Time,4.69,,,,,,,,,,,,,,,,
NA29,Nomen,,,,,,,,,,,,,,,,
NA29Time,4.26,,,,,,,,,,,,,,,,
pause,,,,,,,,,,,,,,,,,
pauseTime,4.37,97.35,73.86,593.02,61.84,69.98,105.52,66.44,28.6,6.06,45.24,2299.78,28,357.89,209.41,33.19,89.09
PNA110[PNA110],5,,,,,,,,,,,,,,,,
PNA110Time,2.44,,,,,,,,,,,,,,,,
PNA111[PNA111],5,,,,,,,,,,,,,,,,
PNA111Time,3.44,,,,,,,,,,,,,,,,
PNA112[PNA112],1,,,,,,,,,,,,,,,,
PNA112Time,4.14,,,,,,,,,,,,,,,,
PNA113[PNA113],5,,,,,,,,,,,,,,,,
PNA113Time,4.9,,,,,,,,,,,,,,,,
PNA114[PNA114],5,,,,,,,,,,,,,,,,
PNA114Time,2.64,,,,,,,,,,,,,,,,
PNA115[PNA115],5,,,,,,,,,,,,,,,,
PNA115Time,3.48,,,,,,,,,,,,,,,,
PNA116[PNA116],5,,,,,,,,,,,,,,,,
PNA116Time,2.5,,,,,,,,,,,,,,,,
PNA117[PNA117],5,,,,,,,,,,,,,,,,
PNA117Time,2.55,,,,,,,,,,,,,,,,
PNA118[PNA118],5,,,,,,,,,,,,,,,,
PNA118Time,2.91,,,,,,,,,,,,,,,,
PNA119[PNA119],4,,,,,,,,,,,,,,,,
PNA119Time,5.17,,,,,,,,,,,,,,,,
PNA11[PNA11],4,,,,,,,,,,,,,,,,
PNA11Time,3.58,,,,,,,,,,,,,,,,
PNA120[PNA120],4,,,,,,,,,,,,,,,,
PNA120Time,5.4,,,,,,,,,,,,,,,,
PNA121[PNA121],5,,,,,,,,,,,,,,,,
PNA121Time,2.88,,,,,,,,,,,,,,,,
PNA122[PNA122],5,,,,,,,,,,,,,,,,
PNA122Time,4.26,,,,,,,,,,,,,,,,
PNA123[PNA123],5,,,,,,,,,,,,,,,,
PNA123Time,3.12,,,,,,,,,,,,,,,,
PNA124[PNA124],5,,,,,,,,,,,,,,,,
PNA124Time,2.84,,,,,,,,,,,,,,,,
PNA125[PNA125],5,,,,,,,,,,,,,,,,
PNA125Time,4.2,,,,,,,,,,,,,,,,
PNA126[PNA126],5,,,,,,,,,,,,,,,,
PNA126Time,3.75,,,,,,,,,,,,,,,,
PNA127[PNA127],4,,,,,,,,,,,,,,,,
PNA127Time,5.5,,,,,,,,,,,,,,,,
PNA128[PNA128],5,,,,,,,,,,,,,,,,
PNA128Time,3.5,,,,,,,,,,,,,,,,
PNA129[PNA129],5,,,,,,,,,,,,,,,,
PNA129Time,3.55,,,,,,,,,,,,,,,,
PNA12[PNA12],5,,,,,,,,,,,,,,,,
PNA12Time,2.83,,,,,,,,,,,,,,,,
PNA130[PNA130],3,,,,,,,,,,,,,,,,
PNA130Time,2.95,,,,,,,,,,,,,,,,
PNA131[PNA131],5,,,,,,,,,,,,,,,,
PNA131Time,3.1,,,,,,,,,,,,,,,,
PNA132[PNA132],5,,,,,,,,,,,,,,,,
PNA132Time,2.79,,,,,,,,,,,,,,,,
PNA133[PNA133],4,,,,,,,,,,,,,,,,
PNA133Time,3.97,,,,,,,,,,,,,,,,
PNA134[PNA134],3,,,,,,,,,,,,,,,,
PNA134Time,2.74,,,,,,,,,,,,,,,,
PNA135[PNA135],5,,,,,,,,,,,,,,,,
PNA135Time,3.37,,,,,,,,,,,,,,,,
PNA136[PNA136],5,,,,,,,,,,,,,,,,
PNA136Time,3.85,,,,,,,,,,,,,,,,
PNA137[PNA137],5,,,,,,,,,,,,,,,,
PNA137Time,2.64,,,,,,,,,,,,,,,,
PNA138[PNA138],5,,,,,,,,,,,,,,,,
PNA138Time,2.44,,,,,,,,,,,,,,,,
PNA139[PNA139],3,,,,,,,,,,,,,,,,
PNA139Time,4.75,,,,,,,,,,,,,,,,
PNA13[PNA13],5,,,,,,,,,,,,,,,,
PNA13Time,4.97,,,,,,,,,,,,,,,,
PNA140[PNA140],1,,,,,,,,,,,,,,,,
PNA140Time,2.87,,,,,,,,,,,,,,,,
PNA141[PNA141],4,,,,,,,,,,,,,,,,
PNA141Time,2.86,,,,,,,,,,,,,,,,
PNA142[PNA142],5,,,,,,,,,,,,,,,,
PNA142Time,2.5,,,,,,,,,,,,,,,,
PNA143[PNA143],5,,,,,,,,,,,,,,,,
PNA143Time,2.36,,,,,,,,,,,,,,,,
PNA144[PNA144],5,,,,,,,,,,,,,,,,
PNA144Time,3.11,,,,,,,,,,,,,,,,
PNA145[PNA145],3,,,,,,,,,,,,,,,,
PNA145Time,4.49,,,,,,,,,,,,,,,,
PNA146[PNA146],5,,,,,,,,,,,,,,,,
PNA146Time,3.47,,,,,,,,,,,,,,,,
PNA147[PNA147],5,,,,,,,,,,,,,,,,
PNA147Time,3.37,,,,,,,,,,,,,,,,
PNA148[PNA148],4,,,,,,,,,,,,,,,,
PNA148Time,4.64,,,,,,,,,,,,,,,,
PNA149[PNA149],5,,,,,,,,,,,,,,,,
PNA149Time,2.8,,,,,,,,,,,,,,,,
PNA14[PNA14],4,,,,,,,,,,,,,,,,
PNA14Time,3.73,,,,,,,,,,,,,,,,
PNA150[PNA150],5,,,,,,,,,,,,,,,,
PNA150Time,3.75,,,,,,,,,,,,,,,,
PNA15[PNA15],2,,,,,,,,,,,,,,,,
PNA15Time,3.8,,,,,,,,,,,,,,,,
PNA16[PNA16],5,,,,,,,,,,,,,,,,
PNA16Time,3.94,,,,,,,,,,,,,,,,
PNA17[PNA17],5,,,,,,,,,,,,,,,,
PNA17Time,2.66,,,,,,,,,,,,,,,,
PNA18[PNA18],5,,,,,,,,,,,,,,,,
PNA18Time,2.91,,,,,,,,,,,,,,,,
PNA19[PNA19],5,,,,,,,,,,,,,,,,
PNA19Time,3.07,,,,,,,,,,,,,,,,
PNA210[PNA210],5,,,,,,,,,,,,,,,,
PNA210Time,1.88,,,,,,,,,,,,,,,,
PNA211[PNA211],5,,,,,,,,,,,,,,,,
PNA211Time,2.8,,,,,,,,,,,,,,,,
PNA212[PNA212],5,,,,,,,,,,,,,,,,
PNA212Time,3.64,,,,,,,,,,,,,,,,
PNA213[PNA213],4,,,,,,,,,,,,,,,,
PNA213Time,6.41,,,,,,,,,,,,,,,,
PNA214[PNA214],3,,,,,,,,,,,,,,,,
PNA214Time,2.99,,,,,,,,,,,,,,,,
PNA215[PNA215],5,,,,,,,,,,,,,,,,
PNA215Time,2.77,,,,,,,,,,,,,,,,
PNA216[PNA216],5,,,,,,,,,,,,,,,,
PNA216Time,2.96,,,,,,,,,,,,,,,,
PNA217[PNA217],4,,,,,,,,,,,,,,,,
PNA217Time,2.58,,,,,,,,,,,,,,,,
PNA218[PNA218],5,,,,,,,,,,,,,,,,
PNA218Time,3.44,,,,,,,,,,,,,,,,
PNA219[PNA219],4,,,,,,,,,,,,,,,,
PNA219Time,2.62,,,,,,,,,,,,,,,,
PNA21[PNA21],3,,,,,,,,,,,,,,,,
PNA21Time,7.51,,,,,,,,,,,,,,,,
PNA220[PNA220],5,,,,,,,,,,,,,,,,
PNA220Time,3.76,,,,,,,,,,,,,,,,
PNA221[PNA221],5,,,,,,,,,,,,,,,,
PNA221Time,3.17,,,,,,,,,,,,,,,,
PNA222[PNA222],5,,,,,,,,,,,,,,,,
PNA222Time,4.44,,,,,,,,,,,,,,,,
PNA223[PNA223],5,,,,,,,,,,,,,,,,
PNA223Time,3.28,,,,,,,,,,,,,,,,
PNA224[PNA224],5,,,,,,,,,,,,,,,,
PNA224Time,3.26,,,,,,,,,,,,,,,,
PNA225[PNA225],5,,,,,,,,,,,,,,,,
PNA225Time,2.65,,,,,,,,,,,,,,,,
PNA226[PNA226],4,,,,,,,,,,,,,,,,
PNA226Time,3.29,,,,,,,,,,,,,,,,
PNA227[PNA227],5,,,,,,,,,,,,,,,,
PNA227Time,7.01,,,,,,,,,,,,,,,,
PNA228[PNA228],5,,,,,,,,,,,,,,,,
PNA228Time,3.41,,,,,,,,,,,,,,,,
PNA229[PNA229],3,,,,,,,,,,,,,,,,
PNA229Time,3.62,,,,,,,,,,,,,,,,
PNA22[PNA22],5,,,,,,,,,,,,,,,,
PNA22Time,2.71,,,,,,,,,,,,,,,,
PNA230[PNA230],5,,,,,,,,,,,,,,,,
PNA230Time,3.67,,,,,,,,,,,,,,,,
PNA23[PNA23],5,,,,,,,,,,,,,,,,
PNA23Time,2.59,,,,,,,,,,,,,,,,
PNA24[PNA24],5,,,,,,,,,,,,,,,,
PNA24Time,2.16,,,,,,,,,,,,,,,,
PNA25[PNA25],4,,,,,,,,,,,,,,,,
PNA25Time,4.77,,,,,,,,,,,,,,,,
PNA26[PNA26],4,,,,,,,,,,,,,,,,
PNA26Time,3.63,,,,,,,,,,,,,,,,
PNA27[PNA27],5,,,,,,,,,,,,,,,,
PNA27Time,2.5,,,,,,,,,,,,,,,,
PNA28[PNA28],5,,,,,,,,,,,,,,,,
