surveynum,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
PNA28Time,6.38,,,,,,,,,,,,,,,,
PNA29[PNA29],5,,,,,,,,,,,,,,,,
PNA29Time,3.23,,,,,,,,,,,,,,,,
profession,Student(in),Angestellte(r),Angestellte(r),Student(in),Angestellte(r),Student(in),arbeitssuchend,Student(in),Student(in),Student(in),Angestellte(r),Student(in),Student(in),Angestellte(r),Angestellte(r),Student(in),Student(in)
profession[other],,,,,,,,,,,,,,,,,
professionTime,4.98,7.67,9.2,4.6,12.16,8.63,6.71,4.5,11.74,3.73,12.29,12.74,6.24,8.4,15.02,8.93,6.21
ptest1[SQ001],2,3,2,5,4,3,3,3,4,5,5,2,1,3,4,3,3
ptest1Time,5.23,5.65,14.74,3.78,9.47,5.38,9.54,12.29,9.94,6.03,5.14,14.76,7.74,9.8,24.56,9.71,5.21
ptest2[SQ001],2,2,5,4,3,4,4,5,5,5,5,5,1,4,4,4,5
ptest2Time,5.49,11.89,4.41,4.39,8.32,5.09,3.58,5.96,6.38,6.1,3.25,3.96,6.19,7.85,9.81,6.62,4.03
ptest3[SQ001],2,5,5,4,4,5,5,5,5,5,5,5,3,4,5,4,5
ptest3Time,3.87,3.01,4.2,5.87,4.48,2.84,3.02,3.72,6.88,4.04,2.77,2.67,5.06,6.99,4.97,4.22,3.47
ptest4[SQ001],4,5,5,5,5,4,5,5,5,5,5,5,4,4,5,4,5
ptest4Time,2.27,2.79,3.59,3.31,4.25,2.77,2.94,4.74,4.83,4.42,2.16,2.52,3.69,5.48,4.43,5.29,3.14
PVA110[PVA110],5,,,,,,,,,,,,,,,,
PVA110Time,3.24,,,,,,,,,,,,,,,,
PVA111[PVA111],5,,,,,,,,,,,,,,,,
PVA111Time,3.17,,,,,,,,,,,,,,,,
PVA112[PVA112],5,,,,,,,,,,,,,,,,
PVA112Time,3.43,,,,,,,,,,,,,,,,
PVA113[PVA113],5,,,,,,,,,,,,,,,,
PVA113Time,3.03,,,,,,,,,,,,,,,,
PVA114[PVA114],5,,,,,,,,,,,,,,,,
PVA114Time,2.82,,,,,,,,,,,,,,,,
PVA115[PVA115],5,,,,,,,,,,,,,,,,
PVA115Time,3.95,,,,,,,,,,,,,,,,
PVA116[PVA116],4,,,,,,,,,,,,,,,,
PVA116Time,3.19,,,,,,,,,,,,,,,,
PVA117[PVA117],5,,,,,,,,,,,,,,,,
PVA117Time,3.94,,,,,,,,,,,,,,,,
PVA118[PVA118],5,,,,,,,,,,,,,,,,
PVA118Time,5.12,,,,,,,,,,,,,,,,
PVA119[PVA119],5,,,,,,,,,,,,,,,,
PVA119Time,3.43,,,,,,,,,,,,,,,,
PVA11[PVA11],5,,,,,,,,,,,,,,,,
PVA11Time,4.32,,,,,,,,,,,,,,,,
PVA120[PVA120],5,,,,,,,,,,,,,,,,
PVA120Time,5.78,,,,,,,,,,,,,,,,
PVA121[PVA121],5,,,,,,,,,,,,,,,,
PVA121Time,2.94,,,,,,,,,,,,,,,,
PVA122[PVA122],4,,,,,,,,,,,,,,,,
PVA122Time,4.93,,,,,,,,,,,,,,,,
PVA123[PVA123],4,,,,,,,,,,,,,,,,
PVA123Time,3.5,,,,,,,,,,,,,,,,
PVA124[PVA124],5,,,,,,,,,,,,,,,,
PVA124Time,2.96,,,,,,,,,,,,,,,,
PVA125[PVA125],5,,,,,,,,,,,,,,,,
PVA125Time,3.32,,,,,,,,,,,,,,,,
PVA126[PVA126],3,,,,,,,,,,,,,,,,
PVA126Time,2.69,,,,,,,,,,,,,,,,
PVA127[PVA127],4,,,,,,,,,,,,,,,,
PVA127Time,3.92,,,,,,,,,,,,,,,,
PVA128[PVA128],4,,,,,,,,,,,,,,,,
PVA128Time,2.5,,,,,,,,,,,,,,,,
PVA129[PVA129],4,,,,,,,,,,,,,,,,
PVA129Time,3.09,,,,,,,,,,,,,,,,
PVA12[PVA12],5,,,,,,,,,,,,,,,,
PVA12Time,4.18,,,,,,,,,,,,,,,,
PVA130[PVA130],5,,,,,,,,,,,,,,,,
PVA130Time,4.01,,,,,,,,,,,,,,,,
PVA131[PVA131],5,,,,,,,,,,,,,,,,
PVA131Time,3.21,,,,,,,,,,,,,,,,
PVA132[PVA132],5,,,,,,,,,,,,,,,,
PVA132Time,3.64,,,,,,,,,,,,,,,,
PVA133[PVA133],5,,,,,,,,,,,,,,,,
PVA133Time,3.12,,,,,,,,,,,,,,,,
PVA134[PVA134],5,,,,,,,,,,,,,,,,
PVA134Time,2.74,,,,,,,,,,,,,,,,
PVA135[PVA135],5,,,,,,,,,,,,,,,,
PVA135Time,7.03,,,,,,,,,,,,,,,,
PVA136[PVA136],5,,,,,,,,,,,,,,,,
PVA136Time,2.76,,,,,,,,,,,,,,,,
PVA137[PVA137],5,,,,,,,,,,,,,,,,
PVA137Time,3.6,,,,,,,,,,,,,,,,
PVA138[PVA138],5,,,,,,,,,,,,,,,,
PVA138Time,3.49,,,,,,,,,,,,,,,,
PVA139[PVA139],5,,,,,,,,,,,,,,,,
PVA139Time,7.87,,,,,,,,,,,,,,,,
PVA13[PVA13],5,,,,,,,,,,,,,,,,
PVA13Time,3.07,,,,,,,,,,,,,,,,
PVA140[PVA140],5,,,,,,,,,,,,,,,,
PVA140Time,2.7,,,,,,,,,,,,,,,,
PVA141[PVA141],4,,,,,,,,,,,,,,,,
PVA141Time,3.88,,,,,,,,,,,,,,,,
PVA142[PVA142],5,,,,,,,,,,,,,,,,
PVA142Time,3.4,,,,,,,,,,,,,,,,
PVA143[PVA143],5,,,,,,,,,,,,,,,,
PVA143Time,3.21,,,,,,,,,,,,,,,,
PVA144[PVA144],5,,,,,,,,,,,,,,,,
PVA144Time,7.16,,,,,,,,,,,,,,,,
PVA145[PVA145],5,,,,,,,,,,,,,,,,
PVA145Time,3.45,,,,,,,,,,,,,,,,
PVA146[PVA146],5,,,,,,,,,,,,,,,,
PVA146Time,3.13,,,,,,,,,,,,,,,,
PVA147[PVA147],5,,,,,,,,,,,,,,,,
PVA147Time,4.39,,,,,,,,,,,,,,,,
PVA148[PVA148],3,,,,,,,,,,,,,,,,
PVA148Time,3.79,,,,,,,,,,,,,,,,
PVA149[PVA149],5,,,,,,,,,,,,,,,,
PVA149Time,3.06,,,,,,,,,,,,,,,,
PVA14[PVA14],5,,,,,,,,,,,,,,,,
PVA14Time,2.72,,,,,,,,,,,,,,,,
PVA150[PVA150],5,,,,,,,,,,,,,,,,
PVA150Time,4.74,,,,,,,,,,,,,,,,
PVA15[PVA15],5,,,,,,,,,,,,,,,,
PVA15Time,3.47,,,,,,,,,,,,,,,,
PVA16[PVA16],5,,,,,,,,,,,,,,,,
PVA16Time,7.29,,,,,,,,,,,,,,,,
PVA17[PVA17],5,,,,,,,,,,,,,,,,
PVA17Time,3.53,,,,,,,,,,,,,,,,
PVA18[PVA18],5,,,,,,,,,,,,,,,,
PVA18Time,4.13,,,,,,,,,,,,,,,,
PVA19[PVA19],5,,,,,,,,,,,,,,,,
PVA19Time,3.66,,,,,,,,,,,,,,,,
PVA210[PVA210],4,,,,,,,,,,,,,,,,
PVA210Time,3.32,,,,,,,,,,,,,,,,
PVA211[PVA211],5,,,,,,,,,,,,,,,,
PVA211Time,4.01,,,,,,,,,,,,,,,,
PVA212[PVA212],4,,,,,,,,,,,,,,,,
PVA212Time,3.44,,,,,,,,,,,,,,,,
PVA213[PVA213],5,,,,,,,,,,,,,,,,
PVA213Time,3.66,,,,,,,,,,,,,,,,
PVA214[PVA214],5,,,,,,,,,,,,,,,,
PVA214Time,2.97,,,,,,,,,,,,,,,,
PVA215[PVA215],5,,,,,,,,,,,,,,,,
PVA215Time,3.29,,,,,,,,,,,,,,,,
PVA216[PVA216],3,,,,,,,,,,,,,,,,
PVA216Time,3.03,,,,,,,,,,,,,,,,
PVA217[PVA217],5,,,,,,,,,,,,,,,,
PVA217Time,3.55,,,,,,,,,,,,,,,,
PVA218[PVA218],5,,,,,,,,,,,,,,,,
PVA218Time,4.04,,,,,,,,,,,,,,,,
PVA219[PVA219],5,,,,,,,,,,,,,,,,
PVA219Time,4.39,,,,,,,,,,,,,,,,
PVA21[PVA21],5,,,,,,,,,,,,,,,,
PVA21Time,3.61,,,,,,,,,,,,,,,,
PVA220[PVA220],5,,,,,,,,,,,,,,,,
PVA220Time,3.36,,,,,,,,,,,,,,,,
PVA221[PVA221],5,,,,,,,,,,,,,,,,
PVA221Time,2.66,,,,,,,,,,,,,,,,
PVA222[PVA222],5,,,,,,,,,,,,,,,,
PVA222Time,4.49,,,,,,,,,,,,,,,,
PVA223[PVA223],5,,,,,,,,,,,,,,,,
PVA223Time,3.64,,,,,,,,,,,,,,,,
PVA224[PVA224],5,,,,,,,,,,,,,,,,
PVA224Time,3.84,,,,,,,,,,,,,,,,
PVA225[PVA225],5,,,,,,,,,,,,,,,,
PVA225Time,4.03,,,,,,,,,,,,,,,,
PVA226[PVA226],5,,,,,,,,,,,,,,,,
PVA226Time,2.93,,,,,,,,,,,,,,,,
PVA227[PVA227],5,,,,,,,,,,,,,,,,
PVA227Time,2.35,,,,,,,,,,,,,,,,
PVA228[PVA228],5,,,,,,,,,,,,,,,,
PVA228Time,3.38,,,,,,,,,,,,,,,,
PVA229[PVA229],5,,,,,,,,,,,,,,,,
PVA229Time,3.14,,,,,,,,,,,,,,,,
PVA22[PVA22],5,,,,,,,,,,,,,,,,
PVA22Time,3.2,,,,,,,,,,,,,,,,
PVA230[PVA230],4,,,,,,,,,,,,,,,,
PVA230Time,3.29,,,,,,,,,,,,,,,,
PVA23[PVA23],5,,,,,,,,,,,,,,,,
PVA23Time,2.39,,,,,,,,,,,,,,,,
PVA24[PVA24],5,,,,,,,,,,,,,,,,
PVA24Time,3.56,,,,,,,,,,,,,,,,
PVA25[PVA25],5,,,,,,,,,,,,,,,,
PVA25Time,4.79,,,,,,,,,,,,,,,,
PVA26[PVA26],5,,,,,,,,,,,,,,,,
PVA26Time,3.21,,,,,,,,,,,,,,,,
PVA27[PVA27],5,,,,,,,,,,,,,,,,
PVA27Time,2.94,,,,,,,,,,,,,,,,
PVA28[PVA28],5,,,,,,,,,,,,,,,,
PVA28Time,3.04,,,,,,,,,,,,,,,,
PVA29[PVA29],5,,,,,,,,,,,,,,,,
PVA29Time,3.75,,,,,,,,,,,,,,,,
refurl,https://survey2.gwdg.de/index.php?r=survey/index&sid=800002,https://survey2.gwdg.de/index.php?r=survey/index&sid=70000,https://survey2.gwdg.de/index.php?r=survey/index&sid=70000,https://survey2.gwdg.de/index.php?r=survey/index&sid=70000,https://survey2.gwdg.de/index.php?r=survey/index&sid=70000,https://survey2.gwdg.de/index.php?r=survey/index&sid=70000,,https://survey2.gwdg.de/index.php?r=survey/index&sid=70000,https://survey2.gwdg.de/index.php?r=survey/index&sid=70000,https://survey2.gwdg.de/index.php?r=survey/index&sid=70000,https://survey2.gwdg.de/index.php?r=survey/index&sid=70000,,https://deref-web-02.de/mail/client/v-NR1QbFFq8/dereferrer/?redirectUrl=https%3A%2F%2Fsurvey2.gwdg.de%2Findex.php%3Fr%3Dsurvey%2Findex%26sid%3D800026%26lang%3Dde,https://survey2.gwdg.de/index.php?r=survey/index&sid=70000,https://survey2.gwdg.de/index.php?r=survey/index&sid=70000,https://survey2.gwdg.de/index.php?r=survey/index&sid=70000,https://survey2.gwdg.de/index.php?r=survey/index&sid=70000
ruleTime,53.18,55.25,68.71,101.61,321.86,86.79,53.05,72.97,168.81,47.91,57.12,148.67,44.23,108.68,496.52,206.95,92.11
startdate,10/12/2017 18:48,10/12/2017 18:50,10/13/2017 15:17,10/14/2017 10:50,10/14/2017 23:33,10/15/2017 12:29,10/30/2017 9:22,10/15/2017 17:23,10/16/2017 0:23,10/16/2017 13:23,10/16/2017 19:06,10/17/2017 8:54,10/26/2017 8:29,10/17/2017 18:59,10/17/2017 22:33,10/19/2017 11:34,10/28/2017 19:36
startlanguage,de,de,de,de,de,de,de,de,de,de,de,de,de,de,de,de,de
submitdate,10/12/2017 19:11,10/12/2017 19:20,10/13/2017 15:47,10/14/2017 11:33,10/15/2017 0:08,10/15/2017 12:56,10/30/2017 9:52,10/15/2017 17:56,10/16/2017 0:58,10/16/2017 13:50,10/16/2017 19:37,10/17/2017 10:11,10/26/2017 8:59,10/17/2017 20:04,10/17/2017 23:26,10/19/2017 12:23,10/28/2017 20:06
test1,Nomen,Verb,Nomen,Verb,Verb,Verb,Verb,Verb,Verb,Nomen,Verb,Verb,Verb,Verb,Verb,Verb,Verb
test1Time,6.03,11.61,6.8,14.09,14.45,6.01,6.66,7.67,7.09,5.38,7.79,9.49,6.22,13.87,8.32,13.8,4.1
test2,Nomen,Nomen,Nomen,Nomen,Nomen,Nomen,Nomen,Nomen,Nomen,Nomen,Nomen,Nomen,Nomen,Verb,Nomen,Nomen,Nomen
test2Time,4.17,5.83,8.84,16.64,7.97,5.9,10.27,9.97,6.36,14.71,5.32,7.11,6.18,6.56,8,17.11,5.08
test3,Verb,Verb,Verb,Verb,Verb,Verb,Verb,Verb,Verb,Verb,Verb,Nomen,Verb,Verb,Verb,Nomen,Verb
test3Time,5,7.31,4.51,8.89,7.84,8.23,5.55,7.41,5.9,6.72,7.96,10.53,16.14,14.53,10.72,13.93,8.23
test4,Nomen,Nomen,Nomen,Nomen,Nomen,Nomen,Nomen,Nomen,Nomen,Nomen,Nomen,Nomen,Nomen,Nomen,Nomen,Nomen,Nomen
test4Time,6.69,4.76,7.67,8.69,10.7,5.85,6.63,5.09,6.3,8.79,7.36,8.05,5.99,15.7,21.87,28.22,8.69
VA11,Verb,,,,,,,,,,,,,,,,
VA110,Verb,,,,,,,,,,,,,,,,
VA110Time,5.73,,,,,,,,,,,,,,,,
VA111,Verb,,,,,,,,,,,,,,,,
VA111Time,10.57,,,,,,,,,,,,,,,,
VA112,Verb,,,,,,,,,,,,,,,,
VA112Time,3.76,,,,,,,,,,,,,,,,
VA113,Verb,,,,,,,,,,,,,,,,
VA113Time,4.23,,,,,,,,,,,,,,,,
VA114,Verb,,,,,,,,,,,,,,,,
VA114Time,6.05,,,,,,,,,,,,,,,,
VA115,Verb,,,,,,,,,,,,,,,,
VA115Time,4.9,,,,,,,,,,,,,,,,
VA116,Verb,,,,,,,,,,,,,,,,
VA116Time,6.44,,,,,,,,,,,,,,,,
VA117,Verb,,,,,,,,,,,,,,,,
VA117Time,6.32,,,,,,,,,,,,,,,,
VA118,Verb,,,,,,,,,,,,,,,,
VA118Time,9.33,,,,,,,,,,,,,,,,
VA119,Verb,,,,,,,,,,,,,,,,
VA119Time,7.72,,,,,,,,,,,,,,,,
VA11Time,5.51,,,,,,,,,,,,,,,,
VA12,Verb,,,,,,,,,,,,,,,,
VA120,Verb,,,,,,,,,,,,,,,,
VA120Time,4.95,,,,,,,,,,,,,,,,
VA121,Verb,,,,,,,,,,,,,,,,
VA121Time,3.75,,,,,,,,,,,,,,,,
VA122,Verb,,,,,,,,,,,,,,,,
VA122Time,6.72,,,,,,,,,,,,,,,,
VA123,Verb,,,,,,,,,,,,,,,,
VA123Time,4.89,,,,,,,,,,,,,,,,
VA124,Verb,,,,,,,,,,,,,,,,
VA124Time,6.36,,,,,,,,,,,,,,,,
VA125,Verb,,,,,,,,,,,,,,,,
VA125Time,5.72,,,,,,,,,,,,,,,,
VA126,Nomen,,,,,,,,,,,,,,,,
VA126Time,6.74,,,,,,,,,,,,,,,,
VA127,Verb,,,,,,,,,,,,,,,,
VA127Time,10.47,,,,,,,,,,,,,,,,
VA128,Verb,,,,,,,,,,,,,,,,
VA128Time,5.6,,,,,,,,,,,,,,,,
VA129,Verb,,,,,,,,,,,,,,,,
VA129Time,4.64,,,,,,,,,,,,,,,,
VA12Time,5.29,,,,,,,,,,,,,,,,
VA13,Verb,,,,,,,,,,,,,,,,
VA130,Verb,,,,,,,,,,,,,,,,
VA130Time,7.79,,,,,,,,,,,,,,,,
VA131,Verb,,,,,,,,,,,,,,,,
VA131Time,5.23,,,,,,,,,,,,,,,,
VA132,Verb,,,,,,,,,,,,,,,,
VA132Time,5.51,,,,,,,,,,,,,,,,
VA133,Verb,,,,,,,,,,,,,,,,
VA133Time,7.53,,,,,,,,,,,,,,,,
VA134,Verb,,,,,,,,,,,,,,,,
VA134Time,6.38,,,,,,,,,,,,,,,,
VA135,Verb,,,,,,,,,,,,,,,,
VA135Time,4.67,,,,,,,,,,,,,,,,
VA136,Nomen,,,,,,,,,,,,,,,,
VA136Time,5.42,,,,,,,,,,,,,,,,
VA137,Verb,,,,,,,,,,,,,,,,
VA137Time,3.64,,,,,,,,,,,,,,,,
VA138,Verb,,,,,,,,,,,,,,,,
VA138Time,5.76,,,,,,,,,,,,,,,,
VA139,Verb,,,,,,,,,,,,,,,,
VA139Time,6.65,,,,,,,,,,,,,,,,
VA13Time,8.31,,,,,,,,,,,,,,,,
VA14,Verb,,,,,,,,,,,,,,,,
VA140,Verb,,,,,,,,,,,,,,,,
VA140Time,4.02,,,,,,,,,,,,,,,,
VA141,Verb,,,,,,,,,,,,,,,,
VA141Time,4.97,,,,,,,,,,,,,,,,
VA142,Verb,,,,,,,,,,,,,,,,
VA142Time,4.58,,,,,,,,,,,,,,,,
VA143,Verb,,,,,,,,,,,,,,,,
VA143Time,5.48,,,,,,,,,,,,,,,,
VA144,Verb,,,,,,,,,,,,,,,,
VA144Time,5.85,,,,,,,,,,,,,,,,
VA145,Verb,,,,,,,,,,,,,,,,
VA145Time,9.55,,,,,,,,,,,,,,,,
VA146,Verb,,,,,,,,,,,,,,,,
VA146Time,4.35,,,,,,,,,,,,,,,,
VA147,Verb,,,,,,,,,,,,,,,,
VA147Time,12.81,,,,,,,,,,,,,,,,
VA148,Nomen,,,,,,,,,,,,,,,,
VA148Time,8.43,,,,,,,,,,,,,,,,
VA149,Verb,,,,,,,,,,,,,,,,
VA149Time,4.53,,,,,,,,,,,,,,,,
VA14Time,6.18,,,,,,,,,,,,,,,,
VA15,Verb,,,,,,,,,,,,,,,,
VA150,Verb,,,,,,,,,,,,,,,,
VA150Time,6.26,,,,,,,,,,,,,,,,
VA15Time,3.94,,,,,,,,,,,,,,,,
VA16,Verb,,,,,,,,,,,,,,,,
VA16Time,6.74,,,,,,,,,,,,,,,,
VA17,Verb,,,,,,,,,,,,,,,,
VA17Time,5.91,,,,,,,,,,,,,,,,
VA18,Nomen,,,,,,,,,,,,,,,,
VA18Time,6.64,,,,,,,,,,,,,,,,
VA19,Verb,,,,,,,,,,,,,,,,
VA19Time,4.82,,,,,,,,,,,,,,,,
VA21,Verb,,,,,,,,,,,,,,,,
VA210,Verb,,,,,,,,,,,,,,,,
VA210Time,5.67,,,,,,,,,,,,,,,,
VA211,Verb,,,,,,,,,,,,,,,,
VA211Time,5.66,,,,,,,,,,,,,,,,
VA212,Verb,,,,,,,,,,,,,,,,
VA212Time,4.89,,,,,,,,,,,,,,,,
VA213,Verb,,,,,,,,,,,,,,,,
VA213Time,5.61,,,,,,,,,,,,,,,,
VA214,Verb,,,,,,,,,,,,,,,,
VA214Time,5.45,,,,,,,,,,,,,,,,
VA215,Verb,,,,,,,,,,,,,,,,
VA215Time,4.79,,,,,,,,,,,,,,,,
VA216,Verb,,,,,,,,,,,,,,,,
VA216Time,3.97,,,,,,,,,,,,,,,,
VA217,Verb,,,,,,,,,,,,,,,,
VA217Time,6.28,,,,,,,,,,,,,,,,
VA218,Verb,,,,,,,,,,,,,,,,
VA218Time,7.38,,,,,,,,,,,,,,,,
VA219,Verb,,,,,,,,,,,,,,,,
VA219Time,5.75,,,,,,,,,,,,,,,,
VA21Time,6.77,,,,,,,,,,,,,,,,
VA22,Verb,,,,,,,,,,,,,,,,
VA220,Verb,,,,,,,,,,,,,,,,
VA220Time,8.65,,,,,,,,,,,,,,,,
VA221,Verb,,,,,,,,,,,,,,,,
VA221Time,6.96,,,,,,,,,,,,,,,,
VA222,Verb,,,,,,,,,,,,,,,,
VA222Time,13.34,,,,,,,,,,,,,,,,
VA223,Verb,,,,,,,,,,,,,,,,
VA223Time,5.57,,,,,,,,,,,,,,,,
VA224,Verb,,,,,,,,,,,,,,,,
VA224Time,6.94,,,,,,,,,,,,,,,,
VA225,Verb,,,,,,,,,,,,,,,,
VA225Time,9.75,,,,,,,,,,,,,,,,
VA226,Verb,,,,,,,,,,,,,,,,
VA226Time,5.34,,,,,,,,,,,,,,,,
VA227,Verb,,,,,,,,,,,,,,,,
VA227Time,5.23,,,,,,,,,,,,,,,,
VA228,Verb,,,,,,,,,,,,,,,,
VA228Time,5.16,,,,,,,,,,,,,,,,
VA229,Verb,,,,,,,,,,,,,,,,
VA229Time,5.43,,,,,,,,,,,,,,,,
VA22Time,5.56,,,,,,,,,,,,,,,,
VA23,Verb,,,,,,,,,,,,,,,,
VA230,Verb,,,,,,,,,,,,,,,,
VA230Time,14.08,,,,,,,,,,,,,,,,
VA23Time,5.12,,,,,,,,,,,,,,,,
VA24,Verb,,,,,,,,,,,,,,,,
VA24Time,3.72,,,,,,,,,,,,,,,,
VA25,Verb,,,,,,,,,,,,,,,,
VA25Time,5.55,,,,,,,,,,,,,,,,
VA26,Verb,,,,,,,,,,,,,,,,
VA26Time,6.64,,,,,,,,,,,,,,,,
VA27,Verb,,,,,,,,,,,,,,,,
VA27Time,5.05,,,,,,,,,,,,,,,,
VA28,Verb,,,,,,,,,,,,,,,,
VA28Time,6.49,,,,,,,,,,,,,,,,
VA29,Verb,,,,,,,,,,,,,,,,
VA29Time,4.86,,,,,,,,,,,,,,,,
